"ID_PLZ","ESTADO_PLZ","ID_PRO_PLZ","INICIO_VIGENCIA_PLZ","FIN_VIGENCIA_PLZ","FECHA_CAN_PLZ","VALOR_SEGURO_PLZ","ID_MOT_PLZ"
"493","A","19","2/1/2019","12/1/2023","","68.9",""
"494","A","19","2/1/2019","12/3/2023","","97.2",""
"495","A","5","2/1/2019","12/3/2023","","119.3",""
"496","A","17","1/22/2019","12/13/2023","","56.3",""
"497","A","8","3/25/2019","12/10/2023","","70.2",""
"498","A","20","2/18/2019","12/30/2023","","84.9",""
"499","A","16","3/17/2019","12/8/2023","","50.7",""
"500","A","19","3/17/2019","12/7/2023","","111.5",""
"501","C","17","2/4/2019","3/4/2019","10/13/2022","59.5","10"
"502","A","18","3/17/2019","12/21/2023","","117.1",""
"503","A","18","2/24/2019","12/18/2023","","110.3",""
"504","A","22","3/24/2019","12/10/2023","","53.5",""
"505","A","7","3/1/2019","12/1/2023","","95.2",""
"506","A","10","3/1/2019","12/5/2023","","108.4",""
"507","A","16","2/15/2019","12/6/2023","","74.2",""
"508","A","18","2/12/2019","12/10/2023","","66.2",""
"509","A","20","2/7/2019","12/24/2023","","98.8",""
"510","A","7","2/14/2019","12/18/2023","","89.9",""
"511","A","10","2/22/2019","12/2/2023","","116.9",""
"512","A","7","2/22/2019","12/25/2023","","81",""
"513","A","21","2/1/2019","12/1/2023","","106.2",""
"514","A","4","2/1/2019","12/5/2023","","91",""
"515","A","3","2/1/2019","12/7/2023","","56",""
"516","A","12","2/1/2019","12/31/2023","","84.5",""
"517","A","12","2/1/2019","12/11/2023","","73.8",""
"518","A","5","2/1/2019","12/22/2023","","110.1",""
"519","A","16","2/1/2019","12/21/2023","","118.7",""
"520","A","9","2/1/2019","12/2/2023","","98.6",""
"521","A","1","2/1/2019","12/22/2023","","90.5",""
"522","A","10","2/1/2019","12/26/2023","","97.6",""
"523","A","10","2/1/2019","12/3/2023","","93.7",""
"524","C","18","2/1/2019","2/28/2019","1/12/2022","51.2","15"
"525","C","17","2/1/2019","2/28/2019","11/19/2022","76.3","10"
"526","A","1","2/1/2019","12/5/2023","","73.9",""
"527","A","22","2/1/2019","12/7/2023","","81.4",""
"528","A","7","2/1/2019","12/16/2023","","76.2",""
"529","A","9","2/1/2019","12/1/2023","","76.7",""
"530","A","1","2/1/2019","12/9/2023","","100.2",""
"531","A","4","2/1/2019","12/26/2023","","107.3",""
"532","A","4","2/1/2019","12/4/2023","","101.4",""
"533","A","22","2/1/2019","12/29/2023","","64",""
"534","A","18","2/1/2019","12/14/2023","","79.5",""
"535","A","21","2/1/2019","12/14/2023","","91.7",""
"536","A","6","2/1/2019","12/27/2023","","117",""
"537","A","9","2/1/2019","12/7/2023","","54.7",""
"538","A","16","2/1/2019","12/14/2023","","115.6",""
"539","A","17","2/1/2019","12/9/2023","","96.1",""
"540","A","18","2/1/2019","12/15/2023","","66.2",""
"541","A","12","2/1/2019","12/13/2023","","75.3",""
"542","A","22","2/1/2019","12/12/2023","","68.4",""
"543","A","12","2/1/2019","12/17/2023","","53.3",""
"544","A","11","2/1/2019","12/18/2023","","50.5",""
"545","A","12","2/1/2019","12/19/2023","","66.8",""
"546","A","14","2/1/2019","12/2/2023","","106",""
"547","A","12","2/1/2019","12/3/2023","","84.3",""
"548","A","18","2/1/2019","12/22/2023","","62.3",""
"549","A","9","2/1/2019","12/1/2023","","59.8",""
"550","A","6","2/1/2019","12/25/2023","","83.8",""
"551","A","16","2/1/2019","12/13/2023","","50.3",""
"552","A","2","2/1/2019","1/1/2024","","85.4",""
"553","A","1","2/1/2019","12/6/2023","","116.4",""
"554","A","12","2/1/2019","12/9/2023","","83.2",""
"555","A","13","2/1/2019","12/13/2023","","104.9",""
"556","A","4","2/1/2019","12/31/2023","","94.3",""
"557","A","8","2/1/2019","12/13/2023","","76.8",""
"558","C","19","2/1/2019","2/28/2019","4/15/2022","61.9","10"
"559","A","18","2/1/2019","12/28/2023","","91.3",""
"560","A","12","2/1/2019","12/30/2023","","53",""
"561","A","19","2/1/2019","12/2/2023","","91.6",""
"562","A","18","2/1/2019","12/31/2023","","93.2",""
"563","A","8","2/1/2019","12/20/2023","","67.7",""
"564","A","19","2/1/2019","12/13/2023","","97.2",""
"565","A","13","2/1/2019","12/30/2023","","115.2",""
"566","A","9","2/1/2019","12/6/2023","","110.6",""
"567","A","4","2/1/2019","12/8/2023","","73.3",""
"568","A","15","2/1/2019","12/20/2023","","57.7",""
"569","A","2","2/1/2019","12/27/2023","","54.7",""
"570","A","7","2/1/2019","12/7/2023","","66.7",""
"571","C","2","3/1/2019","2/28/2019","7/7/2022","104.1","7"
"572","A","21","2/1/2019","12/24/2023","","91.4",""
"573","A","9","2/1/2019","12/27/2023","","88.5",""
"574","A","9","2/1/2019","12/31/2023","","95.9",""
"575","A","20","2/1/2019","12/3/2023","","71",""
"576","A","3","2/1/2019","12/7/2023","","108.9",""
"577","A","6","2/1/2019","12/6/2023","","86.1",""
"578","A","10","2/1/2019","12/23/2023","","58.1",""
"579","A","2","2/1/2019","12/16/2023","","50.2",""
"580","A","17","2/1/2019","12/4/2023","","70.5",""
"581","A","12","2/1/2019","12/21/2023","","65.3",""
"582","A","3","2/1/2019","12/7/2023","","118.1",""
"583","A","20","2/1/2019","12/5/2023","","71.8",""
"584","A","6","2/1/2019","12/20/2023","","91.6",""
"585","A","10","2/1/2019","12/22/2023","","68.9",""
"586","A","7","2/1/2019","12/18/2023","","106.3",""
"587","A","10","2/1/2019","12/26/2023","","113.2",""
"588","A","11","2/1/2019","12/2/2023","","67.4",""
"589","A","11","2/1/2019","12/10/2023","","67.7",""
"590","A","5","2/1/2019","12/1/2023","","68.6",""
"591","A","13","2/1/2019","12/24/2023","","110.5",""
"592","A","21","2/1/2019","12/22/2023","","51.5",""
"593","A","15","2/1/2019","12/13/2023","","108.6",""
"594","A","1","2/1/2019","12/10/2023","","52.1",""
"595","A","12","2/1/2019","12/29/2023","","94.8",""
"596","A","4","2/1/2019","12/7/2023","","86.5",""
"597","A","11","2/1/2019","12/1/2023","","51.1",""
"598","C","1","2/1/2019","2/1/2020","10/20/2022","88.1","10"
"599","A","17","2/1/2019","12/2/2023","","55.6",""
"600","A","4","2/1/2019","12/22/2023","","68.6",""
